Country_Annual_Real_GDP_1,Government_Effective_Expenses_1_1
4792.283005,429.1909874
4712.330167,429.1909874
4647.227101,429.1909874
4635.589597,446.9251978
4679.327555,446.9251978
4725.032901,446.9251978
4779.154341,446.9251978
4797.969817,446.5520198
4791.660607,446.5520198
4819.078071,446.5520198
4772.095551,446.5520198
4803.845875,454.9976844
4768.375884,454.9976844
4758.273413,454.9976844
4819.045318,454.9976844
4806.220681,458.0421111
4852.83229,458.0421111
4790.906547,458.0421111
4787.0868,458.0421111
4777.805084,471.4800348
4736.661605,471.4800348
4798.227373,471.4800348
4687.923832,471.4800348
4689.327996,475.6651581
4696.111751,475.6651581
4689.364481,475.6651581
4765.180942,475.6651581
4750.870924,483.4488192
4783.223823,483.4488192
4802.33723,483.4488192
4829.596699,483.4488192
4850.941291,499.8059981
4918.015519,499.8059981
4946.585676,499.8059981
4990.977834,499.8059981
5049.50087,504.2164442
5038.358051,504.2164442
5078.691347,504.2164442
5047.925025,504.2164442
5041.431745,523.5932908
5010.698725,523.5932908
4997.642531,523.5932908
5034.340301,523.5932908
4973.122133,532.8580099
4982.545438,532.8580099
4991.685251,532.8580099
4993.381157,532.8580099
5043.792483,541.5095387
5061.269731,541.5095387
5006.965714,541.5095387
5045.114103,541.5095387
5086.55126,553.5964311
5105.937911,553.5964311
5147.973152,553.5964311
5068.887946,553.5964311
5029.996415,548.454497
4956.171126,548.454497
4880.209713,548.454497
4872.083694,548.454497
4845.01071,559.2509626
4832.858212,559.2509626
4865.986378,559.2509626
4915.818623,559.2509626
4925.50596,581.0921157
4925.424839,581.0921157
4862.652706,581.0921157
4778.534773,581.0921157
4721.174621,572.4458402
4704.887297,572.4458402
4779.583131,572.4458402
4837.990884,572.4458402
4878.150311,609.8612507
4909.461373,609.8612507
4929.439523,609.8612507
4862.361105,609.8612507
4881.443043,624.7920658
4964.640423,624.7920658
4985.514218,624.7920658
5082.224837,624.7920658
5129.439313,646.9996673
5138.652972,646.9996673
5185.61022,646.9996673
5216.140714,646.9996673
5270.552299,649.8801327
5207.400615,649.8801327
5017.804368,649.8801327
4946.668896,649.8801327
4861.068542,629.7038467
4865.122124,629.7038467
4987.584125,629.7038467
5074.551196,629.7038467
5086.336079,679.2641664
5118.490475,679.2641664
